,no_mom | count | sketch_size = m/4 = 2 | residual_norms (median),no_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),no_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (median),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (median),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile)
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.7636517551578346,0.7477202463222807,0.8079120693866237,0.7636517551578343,0.7477202463222807,0.8079120693866235,0.7636517551578346,0.7477202463222807,0.8079120693866237
2,0.6239255009669313,0.5476157929879041,0.7104676740686369,0.6602559055637139,0.5335566218016629,0.7273491277906746,0.6237165692436506,0.5466620612793649,0.7102642890025733
3,0.5543998454773169,0.490797579997147,0.580986992752923,0.653288375901395,0.5856832020116514,0.726716686536683,0.5533636169754288,0.49008097916957616,0.5809115589721541
4,0.4446944226575885,0.42557014332922927,0.4764356834834873,0.6649170331021883,0.5863384854543673,0.7009697311749589,0.4448777086171014,0.4259329932114835,0.4759241591679574
5,0.41722454874005743,0.2916333944124205,0.4328724940536053,0.5318337996739986,0.4200082385599978,0.6838204932692951,0.41809164071956495,0.29046537883805396,0.4313332427393977
6,0.3169006118068291,0.23573787725115591,0.3831598081485959,0.5524450172958448,0.46904844947607166,0.6759646628224417,0.3149006240594705,0.24146987717277757,0.38417299058246945
7,0.27535979569422164,0.19900144577865028,0.3356089416997916,0.5022083328332124,0.36404050036878155,0.6742879888380171,0.27500104098277056,0.19712297913950066,0.3351425217135158
8,0.23269143537825687,0.16931812843759608,0.28258854199154143,0.4640141313685824,0.41539731293163323,0.6374743228896032,0.2330302183187325,0.17424528243226362,0.2844751437862359
9,0.19123239305078021,0.15033705447244816,0.26441674162492906,0.5097018882958289,0.38090743454605536,0.638314404774782,0.19344914890370335,0.15476315099398696,0.26298168689148094
10,0.1811560563377609,0.14457784250081146,0.2506721454927272,0.5053778346964172,0.3340727942307565,0.5913072104490165,0.18573691232957368,0.147110913166216,0.252279553971534
11,0.15857745290547354,0.12818330647982698,0.17995177218932537,0.3871352148872329,0.2657694883792481,0.504823607942412,0.1624903158512105,0.1304741040773858,0.180667658853788
12,0.13945583110128879,0.11367104103207057,0.16018985828553498,0.35488657334705986,0.2605402148380748,0.452243502736077,0.14364091830670828,0.11418927439892808,0.16255945836720842
13,0.12385957366343464,0.10521315633333014,0.14614303366540088,0.35729241530046485,0.29544815496674165,0.40088467339054823,0.12658596608209174,0.1031988906644339,0.1479126765285236
14,0.10801836460180786,0.06936674818544455,0.13219514025077728,0.3237099580238201,0.2707499046113361,0.38471153502125355,0.11094246406689784,0.06614037121808843,0.13332400280997103
15,0.08925933571739109,0.05060622225123458,0.10557770141018841,0.30132129084994363,0.27056482527057935,0.3854831626432553,0.09224329613897611,0.05064280967370348,0.11175405700637846
16,0.07236977482340155,0.04555962195592453,0.0824629491935623,0.285208723944831,0.22028031787841426,0.36632508071058306,0.07621432211105278,0.046263207914996364,0.08489120560379128
