,california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (3rd quartile)
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.81863735145703,0.8159992478473259,0.8202636948495313,0.8090955568586903,0.8082820731737039,0.8097082255526223,0.8069306752901682,0.8036055186114368,0.8086767083750582,0.8097416441289771,0.8088589097252619,0.8117366647667074
2,0.6850589039616781,0.6812770157585161,0.686524579293484,0.6784640531423894,0.6748020602464383,0.6804244524145896,0.6749290238053742,0.6728215484994408,0.6758325569819938,0.6792835695513988,0.6763449619505314,0.6816520745294256
3,0.5797167400548873,0.5767311459583362,0.5817406565620029,0.5748476782845648,0.5745425473731148,0.5773538640094267,0.5741916396667202,0.5714054387311894,0.5748039040848272,0.5766315508866773,0.5731633866306726,0.5775997295609825
4,0.4942689097793965,0.4931502715872957,0.4959100683373275,0.49300039214818825,0.49171613294150857,0.4937843692033736,0.49273006430966276,0.4902277761485102,0.4965127236397153,0.4935990808655402,0.49183706879434624,0.49496143448511626
5,0.4229726809948229,0.41933374187419664,0.4243633572099204,0.42430243663210915,0.42319188936042323,0.4244962103790838,0.42229655766857055,0.42169080277811655,0.42767497191208365,0.4238223485785682,0.423553795846181,0.4244286288279943
6,0.3648351979814299,0.36221055351728865,0.365182094515493,0.3661783374971811,0.36616914927343214,0.36670106033228594,0.36505245241095147,0.36453093116316854,0.36823916738511075,0.36526089572518927,0.36491758174876965,0.36586452517581985
7,0.31430721956891017,0.3136820908956462,0.31687922465607415,0.3164869744282729,0.3164637199594686,0.3165673007578176,0.3152820971956348,0.3146382678083694,0.3175776063037972,0.3160081667961204,0.31493258713767464,0.3160165835064419
8,0.27195095866666846,0.270670539660299,0.27429613976871964,0.2745627589509498,0.27427220784259976,0.2747865357975781,0.27341827138563407,0.27223286423497406,0.27596740903791667,0.2742634523438632,0.27331933949913445,0.27433512485506323
9,0.23291108678905126,0.23220558168713,0.2370113795491686,0.2379919163966547,0.23762685957800134,0.23852489097909144,0.23536129680626633,0.23529511934891081,0.23834546493804554,0.23741799451069687,0.23670016826489268,0.23769567869431404
10,0.20002170266455696,0.1976807722653877,0.21107248780060664,0.2069759415061753,0.20562373762927644,0.20744753413707379,0.20475128527416692,0.20450029140939655,0.20691352651228556,0.20602928420864175,0.20545795120039367,0.2069281595188701
11,0.17469511381053263,0.17122447386268527,0.18216673366685407,0.1796760067364565,0.17860582511555503,0.1801314041396182,0.17781757637052126,0.17775524827992445,0.17929876045831267,0.17926447024869324,0.17859366983400024,0.1801763388577968
12,0.150615717585295,0.14965738500506348,0.16298359518413044,0.1557216495685097,0.1555058479102496,0.15651585133355309,0.15489727358841424,0.15468726785700415,0.15562683759586524,0.15582513938885745,0.1557347314047519,0.15644718589794954
13,0.1281088048171348,0.12630541659608896,0.13834494679248271,0.13589664291415193,0.13517255830030364,0.13629799460598965,0.13497255808041425,0.13351614682452173,0.1352008222576257,0.13582515329975497,0.13522570126983863,0.13639408707442902
