,rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile)
0,2.674508882779634e-16,2.674508882779634e-16,2.674508882779634e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,,,,0.02350006936032603,0.02350006936032603,0.02350006936032603,0.31825677024393306,0.31825677024393306,0.31825677024393306,0.003301236746070544,0.003301236746070544,0.003301236746070544
2,,,,0.011336401606704617,0.011336401606704617,0.011336401606704617,0.1314417554758964,0.1314417554758964,0.1314417554758964,0.005207573670780099,0.005207573670780099,0.005207573670780099
3,,,,0.0039628314653972286,0.0039628314653972286,0.0039628314653972286,0.08622631148127759,0.08622631148127759,0.08622631148127759,0.001230175836368342,0.001230175836368342,0.001230175836368342
4,,,,0.0035875566837629195,0.0035875566837629195,0.0035875566837629195,0.059026080156039294,0.059026080156039294,0.059026080156039294,0.0010599043582021816,0.0010599043582021816,0.0010599043582021816
5,,,,0.002475116870224164,0.002475116870224164,0.002475116870224164,0.0607087184500121,0.0607087184500121,0.0607087184500121,0.0009337805898235475,0.0009337805898235475,0.0009337805898235475
6,,,,0.002068900816918298,0.002068900816918298,0.002068900816918298,0.049118858687406994,0.049118858687406994,0.049118858687406994,,,
7,,,,0.020419261442744443,0.020419261442744443,0.020419261442744443,0.04299939314137779,0.04299939314137779,0.04299939314137779,,,
8,,,,0.001460434432921895,0.001460434432921895,0.001460434432921895,0.05291066160850252,0.05291066160850252,0.05291066160850252,,,
9,,,,0.0013147221215370276,0.0013147221215370276,0.0013147221215370276,0.05472671927449763,0.05472671927449763,0.05472671927449763,,,
10,,,,0.0011215285284613043,0.0011215285284613043,0.0011215285284613043,0.049217501647678,0.049217501647678,0.049217501647678,,,
11,,,,0.0010129372710675748,0.0010129372710675748,0.0010129372710675748,0.05452227766533856,0.05452227766533856,0.05452227766533856,,,
12,,,,0.000833701427481124,0.000833701427481124,0.000833701427481124,0.037472278859572085,0.037472278859572085,0.037472278859572085,,,
13,,,,,,,0.03250360234714611,0.03250360234714611,0.03250360234714611,,,
14,,,,,,,0.031778805965948474,0.031778805965948474,0.031778805965948474,,,
15,,,,,,,0.029721361175024066,0.029721361175024066,0.029721361175024066,,,
16,,,,,,,0.053268008931376586,0.053268008931376586,0.053268008931376586,,,
17,,,,,,,0.041698754136900225,0.041698754136900225,0.041698754136900225,,,
18,,,,,,,0.03556350524727886,0.03556350524727886,0.03556350524727886,,,
19,,,,,,,0.043219303847186426,0.043219303847186426,0.043219303847186426,,,
20,,,,,,,0.03185272014570651,0.03185272014570651,0.03185272014570651,,,
21,,,,,,,0.03910508208186273,0.03910508208186273,0.03910508208186273,,,
22,,,,,,,0.03640366332383169,0.03640366332383169,0.03640366332383169,,,
23,,,,,,,0.03447720245078495,0.03447720245078495,0.03447720245078495,,,
24,,,,,,,0.03412171249864101,0.03412171249864101,0.03412171249864101,,,
