,california_housing | direct | sketch_size = m^(2/3) = 752 | residual_norms (median),california_housing | direct | sketch_size = m^(2/3) = 752 | residual_norms (1st quartile),california_housing | direct | sketch_size = m^(2/3) = 752 | residual_norms (3rd quartile),california_housing | cg | sketch_size = m^(2/3) = 752 | residual_norms (median),california_housing | cg | sketch_size = m^(2/3) = 752 | residual_norms (1st quartile),california_housing | cg | sketch_size = m^(2/3) = 752 | residual_norms (3rd quartile),california_housing | subsample | sketch_size = m^(2/3) = 752 | residual_norms (median),california_housing | subsample | sketch_size = m^(2/3) = 752 | residual_norms (1st quartile),california_housing | subsample | sketch_size = m^(2/3) = 752 | residual_norms (3rd quartile),california_housing | count | sketch_size = m^(2/3) = 752 | residual_norms (median),california_housing | count | sketch_size = m^(2/3) = 752 | residual_norms (1st quartile),california_housing | count | sketch_size = m^(2/3) = 752 | residual_norms (3rd quartile)
0,3.4396603854104664e-16,3.4396603854104664e-16,3.4396603854104664e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,,,,0.6357442565924041,0.6357442565924041,0.6357442565924041,0.974076922865495,0.974076922865495,0.974076922865495,0.9694540192101456,0.9694540192101456,0.9694540192101456
2,,,,0.2849690251853127,0.2849690251853127,0.2849690251853127,0.947916655941364,0.947916655941364,0.947916655941364,0.9380757654018439,0.9380757654018439,0.9380757654018439
3,,,,0.12124387057283453,0.12124387057283453,0.12124387057283453,0.9209830634098368,0.9209830634098368,0.9209830634098368,0.9122156877521063,0.9122156877521063,0.9122156877521063
4,,,,0.05491811601702047,0.05491811601702047,0.05491811601702047,0.897990004118503,0.897990004118503,0.897990004118503,0.888351347655692,0.888351347655692,0.888351347655692
5,,,,0.029486985151615314,0.029486985151615314,0.029486985151615314,0.8733503224220482,0.8733503224220482,0.8733503224220482,0.8641712149576155,0.8641712149576155,0.8641712149576155
6,,,,0.01967414156915155,0.01967414156915155,0.01967414156915155,0.8526359761673351,0.8526359761673351,0.8526359761673351,0.8436436189791943,0.8436436189791943,0.8436436189791943
7,,,,0.016205695382452957,0.016205695382452957,0.016205695382452957,0.8312576817914994,0.8312576817914994,0.8312576817914994,0.8232553056018685,0.8232553056018685,0.8232553056018685
8,,,,0.01327768022854489,0.01327768022854489,0.01327768022854489,0.8107698597871712,0.8107698597871712,0.8107698597871712,0.8037605801718721,0.8037605801718721,0.8037605801718721
9,,,,0.009842451716101567,0.009842451716101567,0.009842451716101567,0.7923273982520965,0.7923273982520965,0.7923273982520965,0.7846218060393891,0.7846218060393891,0.7846218060393891
10,,,,0.007561610632115985,0.007561610632115985,0.007561610632115985,0.7726228826177997,0.7726228826177997,0.7726228826177997,0.7664421462106928,0.7664421462106928,0.7664421462106928
11,,,,0.006677683187328214,0.006677683187328214,0.006677683187328214,0.7541852085467794,0.7541852085467794,0.7541852085467794,0.7498957194506052,0.7498957194506052,0.7498957194506052
12,,,,0.005833082053695477,0.005833082053695477,0.005833082053695477,0.7373195166928669,0.7373195166928669,0.7373195166928669,0.7332983061370779,0.7332983061370779,0.7332983061370779
13,,,,0.004628723952869928,0.004628723952869928,0.004628723952869928,0.7218060342591408,0.7218060342591408,0.7218060342591408,0.7185582977485857,0.7185582977485857,0.7185582977485857
14,,,,0.0038235003610436894,0.0038235003610436894,0.0038235003610436894,0.7065931727307952,0.7065931727307952,0.7065931727307952,0.7022118492627126,0.7022118492627126,0.7022118492627126
15,,,,0.003593099516694639,0.003593099516694639,0.003593099516694639,0.6910544888521071,0.6910544888521071,0.6910544888521071,0.6882717360440699,0.6882717360440699,0.6882717360440699
16,,,,0.0033501051935209115,0.0033501051935209115,0.0033501051935209115,0.6772294121045194,0.6772294121045194,0.6772294121045194,0.6723447557291461,0.6723447557291461,0.6723447557291461
17,,,,0.0029839686094883006,0.0029839686094883006,0.0029839686094883006,0.6637331398581854,0.6637331398581854,0.6637331398581854,0.6594212195158493,0.6594212195158493,0.6594212195158493
18,,,,0.0025735210972600564,0.0025735210972600564,0.0025735210972600564,0.6480346521680166,0.6480346521680166,0.6480346521680166,0.6470030598794465,0.6470030598794465,0.6470030598794465
19,,,,0.0023217563840571246,0.0023217563840571246,0.0023217563840571246,0.6356166585539635,0.6356166585539635,0.6356166585539635,0.6339018567133178,0.6339018567133178,0.6339018567133178
20,,,,0.0021954362324299887,0.0021954362324299887,0.0021954362324299887,0.6236772394047803,0.6236772394047803,0.6236772394047803,0.6216987004096571,0.6216987004096571,0.6216987004096571
21,,,,0.002067536582391452,0.002067536582391452,0.002067536582391452,0.6113584159191096,0.6113584159191096,0.6113584159191096,0.609573558209494,0.609573558209494,0.609573558209494
22,,,,0.001996645752733305,0.001996645752733305,0.001996645752733305,0.5997423642591138,0.5997423642591138,0.5997423642591138,0.5982677467313811,0.5982677467313811,0.5982677467313811
