,boston | direct | sketch_size = m/4 = 126 | residual_norms (median),boston | direct | sketch_size = m/4 = 126 | residual_norms (1st quartile),boston | direct | sketch_size = m/4 = 126 | residual_norms (3rd quartile),boston | cg | sketch_size = m/4 = 126 | residual_norms (median),boston | cg | sketch_size = m/4 = 126 | residual_norms (1st quartile),boston | cg | sketch_size = m/4 = 126 | residual_norms (3rd quartile),boston | subsample | sketch_size = m/4 = 126 | residual_norms (median),boston | subsample | sketch_size = m/4 = 126 | residual_norms (1st quartile),boston | subsample | sketch_size = m/4 = 126 | residual_norms (3rd quartile),boston | count | sketch_size = m/4 = 126 | residual_norms (median),boston | count | sketch_size = m/4 = 126 | residual_norms (1st quartile),boston | count | sketch_size = m/4 = 126 | residual_norms (3rd quartile)
0,1.778682603210365e-16,1.778682603210365e-16,1.778682603210365e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,,,,0.4078288233499317,0.4078288233499317,0.4078288233499317,0.8616321558006892,0.846117232414625,0.8653781679237037,0.8601232497275926,0.857744456375111,0.8674344361215779
2,,,,0.07299351650883554,0.07299351650883554,0.07299351650883554,0.7380140083374946,0.733511382780337,0.7482022673934912,0.752489924379663,0.7387173166279758,0.7612711745526655
3,,,,0.018654564600650167,0.018654564600650167,0.018654564600650167,0.6438100210550011,0.6395918148524302,0.6464439458339414,0.6526648789597099,0.6374295349101711,0.6634652671547965
4,,,,0.004560117133373773,0.004560117133373773,0.004560117133373773,0.5448876538861838,0.5359903815469186,0.5619977496002466,0.557852667085381,0.5465293317881719,0.5659989267834977
5,,,,0.0017250565200370369,0.0017250565200370369,0.0017250565200370369,0.47028985080622265,0.46020256701025686,0.4805439888144887,0.4826687886289004,0.46727949477995334,0.4955716093843713
6,,,,0.0016095009540008645,0.0016095009540008645,0.0016095009540008645,0.40882786360713286,0.3893539927600964,0.4113677115645569,0.41626911680418377,0.4045791707110667,0.42116869530229284
7,,,,0.0019355758824524442,0.0019355758824524442,0.0019355758824524442,0.34131002900486146,0.3357107380748364,0.35130841421953607,0.3597167603152075,0.34806152998260464,0.36544738113953035
8,,,,0.002719214275221929,0.002719214275221929,0.002719214275221929,0.29008799635755,0.2785500569226665,0.3115888377579168,0.30862265292419605,0.30187352696831093,0.3098004148495252
9,,,,0.003616393875305524,0.003616393875305524,0.003616393875305524,0.26010072331354117,0.24425674785791704,0.2674248708034028,0.2656268563994113,0.26177453647742593,0.2705710344918809
10,,,,0.0037836639234441077,0.0037836639234441077,0.0037836639234441077,0.2334744029188484,0.19836012509836626,0.24774120440144431,0.23067077588242227,0.22862604100597417,0.23494592408282783
11,,,,0.00292929487983923,0.00292929487983923,0.00292929487983923,0.18449960360391915,0.16449153835138608,0.20948784828145922,0.19900984042606626,0.19814514066491606,0.20083998509991854
12,,,,0.001727019427305449,0.001727019427305449,0.001727019427305449,0.16659491515454,0.13401518793133932,0.17670667726775274,0.17228459860654743,0.1705675297842683,0.1755836271142995
13,,,,0.0008589665536288742,0.0008589665536288742,0.0008589665536288742,0.1431980815299091,0.11808186872296414,0.15329412972409168,0.14839010100074046,0.14461231446868492,0.15104666253126386
14,,,,0.0005923758819899431,0.0005923758819899431,0.0005923758819899431,0.12783461736875096,0.11420816916940063,0.14475448808621608,0.1273733051275831,0.1248830812186126,0.1329684924639402
15,,,,0.0003228220339627111,0.0003228220339627111,0.0003228220339627111,0.11203597176453223,0.10645316150492655,0.12038224385917248,0.11028719514196902,0.10949265842955844,0.11339831185147514
16,,,,0.00018698378195599623,0.00018698378195599623,0.00018698378195599623,0.10155803712767437,0.08320310469303127,0.11048183381424238,0.09420945974326603,0.09336420043673482,0.09627369888805942
17,,,,0.00010574530524162951,0.00010574530524162951,0.00010574530524162951,0.08418916784230629,0.06315158925897976,0.09439583260192261,0.08153375916190768,0.0798647311628169,0.08303414105953662
18,,,,2.8087176013482327e-05,2.8087176013482327e-05,2.8087176013482327e-05,0.07036493857754605,0.0589307821079462,0.08149210986483443,0.07104541751086083,0.07058308059398397,0.07176217261413032
19,,,,,,,0.0606210245369798,0.0389599888098104,0.08124844767061201,0.0620526134195135,0.060311963463853396,0.06327167628351127
