,no_mom | count | sketch_size = m/4 = 2 | residual_norms (median),no_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),no_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (median),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),cst_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (median),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (1st quartile),inc_mom | count | sketch_size = m/4 = 2 | residual_norms (3rd quartile)
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8162111474080764,0.8162111474080764,0.8162111474080764,0.8162111474080763,0.8162111474080763,0.8162111474080763,0.8162111474080764,0.8162111474080764,0.8162111474080764
2,0.7439076577638923,0.7439076577638923,0.7439076577638923,0.7524480820121179,0.7524480820121179,0.7524480820121179,0.7436912499719037,0.7436912499719037,0.7436912499719037
3,0.5558726709608338,0.5558726709608338,0.5558726709608338,0.5692220490305059,0.5692220490305059,0.5692220490305059,0.5548192881790152,0.5548192881790152,0.5548192881790152
4,0.4398761147300223,0.4398761147300223,0.4398761147300223,0.5401282605615783,0.5401282605615783,0.5401282605615783,0.44018259798027776,0.44018259798027776,0.44018259798027776
5,0.4316216272407646,0.4316216272407646,0.4316216272407646,0.40426638404912885,0.40426638404912885,0.40426638404912885,0.42974238315104546,0.42974238315104546,0.42974238315104546
6,0.2776494543981263,0.2776494543981263,0.2776494543981263,0.32541168104398466,0.32541168104398466,0.32541168104398466,0.2764313114254722,0.2764313114254722,0.2764313114254722
7,0.27648458931853387,0.27648458931853387,0.27648458931853387,0.35561947227175544,0.35561947227175544,0.35561947227175544,0.275077656268829,0.275077656268829,0.275077656268829
8,0.21603274501456535,0.21603274501456535,0.21603274501456535,0.3588401028636798,0.3588401028636798,0.3588401028636798,0.2149130893335696,0.2149130893335696,0.2149130893335696
9,0.1844517911788965,0.1844517911788965,0.1844517911788965,0.3250986178311697,0.3250986178311697,0.3250986178311697,0.18664940076144346,0.18664940076144346,0.18664940076144346
10,0.18199834186246017,0.18199834186246017,0.18199834186246017,0.31270168843760393,0.31270168843760393,0.31270168843760393,0.1825013649447609,0.1825013649447609,0.1825013649447609
11,0.1756245813863935,0.1756245813863935,0.1756245813863935,0.2719917990104671,0.2719917990104671,0.2719917990104671,0.17581428952442144,0.17581428952442144,0.17581428952442144
12,0.16720509787977014,0.16720509787977014,0.16720509787977014,0.24751406695146325,0.24751406695146325,0.24751406695146325,0.16476503132900294,0.16476503132900294,0.16476503132900294
13,0.16677061260886414,0.16677061260886414,0.16677061260886414,0.23507405346247642,0.23507405346247642,0.23507405346247642,0.1645383551535569,0.1645383551535569,0.1645383551535569
