,no_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (median),no_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),no_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),no_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (median),no_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),no_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),cst_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (median),cst_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),cst_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),cst_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (median),cst_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),cst_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),inc_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (median),inc_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),inc_mom | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),inc_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (median),inc_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),inc_mom | count | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile)
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.3182567773172884,0.3182567773172884,0.3182567773172884,0.003301236920997852,0.003301236920997852,0.003301236920997852,0.3182567773172884,0.3182567773172884,0.3182567773172884,0.0033012369209978526,0.0033012369209978526,0.0033012369209978526,0.3182567773172884,0.3182567773172884,0.3182567773172884,0.003301236920997852,0.003301236920997852,0.003301236920997852
2,0.13478451134425512,0.13478451134425512,0.13478451134425512,0.0016075072734033475,0.0016075072734033475,0.0016075072734033475,0.20865677801171068,0.20865677801171068,0.20865677801171068,0.4996722540531386,0.4996722540531386,0.4996722540531386,0.13144176070146235,0.13144176070146235,0.13144176070146235,0.005207573689924712,0.005207573689924712,0.005207573689924712
3,0.08908750860233149,0.08908750860233149,0.08908750860233149,0.001225814451331462,0.001225814451331462,0.001225814451331462,0.28319930400466775,0.28319930400466775,0.28319930400466775,0.2507783127211497,0.2507783127211497,0.2507783127211497,0.08622631546288524,0.08622631546288524,0.08622631546288524,0.0012301758701539775,0.0012301758701539775,0.0012301758701539775
4,0.06073365632578934,0.06073365632578934,0.06073365632578934,0.001053818817876432,0.001053818817876432,0.001053818817876432,0.11519569303315202,0.11519569303315202,0.11519569303315202,0.1243237731165651,0.1243237731165651,0.1243237731165651,0.059026083761142906,0.059026083761142906,0.059026083761142906,0.001059904382916261,0.001059904382916261,0.001059904382916261
5,0.06201480788083954,0.06201480788083954,0.06201480788083954,0.0009328249896812415,0.0009328249896812415,0.0009328249896812415,0.0679210132538063,0.0679210132538063,0.0679210132538063,0.18754456124633545,0.18754456124633545,0.18754456124633545,0.06070872224705077,0.06070872224705077,0.06070872224705077,0.0009337806104062409,0.0009337806104062409,0.0009337806104062409
6,0.04958876700356493,0.04958876700356493,0.04958876700356493,0.0008402093404071154,0.0008402093404071154,0.0008402093404071154,0.12129035907548358,0.12129035907548358,0.12129035907548358,0.03185618090502355,0.03185618090502355,0.03185618090502355,0.04911886259359737,0.04911886259359737,0.04911886259359737,0.0008415222732251257,0.0008415222732251257,0.0008415222732251257
7,0.04366252103472033,0.04366252103472033,0.04366252103472033,0.000774671957647287,0.000774671957647287,0.000774671957647287,0.07155940318377355,0.07155940318377355,0.07155940318377355,0.0778154710731495,0.0778154710731495,0.0778154710731495,0.042999396075908976,0.042999396075908976,0.042999396075908976,0.0007759302201204347,0.0007759302201204347,0.0007759302201204347
8,0.05363293460960423,0.05363293460960423,0.05363293460960423,0.0007180489550000247,0.0007180489550000247,0.0007180489550000247,0.025811476732813237,0.025811476732813237,0.025811476732813237,0.054862663258970046,0.054862663258970046,0.054862663258970046,0.05291066605329598,0.05291066605329598,0.05291066605329598,0.0007197633489961011,0.0007197633489961011,0.0007197633489961011
9,0.05471944573945351,0.05471944573945351,0.05471944573945351,0.0006772212125148644,0.0006772212125148644,0.0006772212125148644,0.018966149477608933,0.018966149477608933,0.018966149477608933,0.011554894087470085,0.011554894087470085,0.011554894087470085,0.054726723927060794,0.054726723927060794,0.054726723927060794,0.0006794108477991426,0.0006794108477991426,0.0006794108477991426
