,run_name,solver,sketch_size_formula,sketch_size,time (median),time (1st quartile),time (3rd quartile)
0,no_mom,count,10%,4724,153.77533916803077,153.0023244555341,154.02291101648007
1,no_mom,count,50%,23618,140.9411607759539,135.84946901682997,145.7575873094902
2,no_mom,count,90%,42512,183.63796690345043,177.7767632114992,274.0797801621957
3,cst_mom,count,10%,4724,453.8226371659548,451.011163553223,456.249330874969
4,cst_mom,count,50%,23618,1142.610754853522,1130.4140069152345,1154.2303792457387
5,cst_mom,count,90%,42512,185.0329807154485,177.38294395056437,2593.09154878126
6,inc_mom,count,10%,4724,154.823980155983,154.52966771894717,156.06463857751805
7,inc_mom,count,50%,23618,175.39995617297245,172.45805565273622,178.03148628171766
8,inc_mom,count,90%,42512,200.704459375469,188.92189993496868,378.77266941129346
