,no_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (median),no_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (1st quartile),no_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),no_mom | count | sketch_size = m/4 = 5160 | residual_norms (median),no_mom | count | sketch_size = m/4 = 5160 | residual_norms (1st quartile),no_mom | count | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),cst_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (median),cst_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (1st quartile),cst_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),cst_mom | count | sketch_size = m/4 = 5160 | residual_norms (median),cst_mom | count | sketch_size = m/4 = 5160 | residual_norms (1st quartile),cst_mom | count | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),inc_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (median),inc_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (1st quartile),inc_mom | subsample | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),inc_mom | count | sketch_size = m/4 = 5160 | residual_norms (median),inc_mom | count | sketch_size = m/4 = 5160 | residual_norms (1st quartile),inc_mom | count | sketch_size = m/4 = 5160 | residual_norms (3rd quartile)
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8202637079162957,0.8202637079162957,0.8202637079162957,0.8027927259201262,0.8027927259201262,0.8027927259201262,0.8202637079162957,0.8202637079162957,0.8202637079162957,0.8027927259201262,0.8027927259201262,0.8027927259201262,0.8202637079162957,0.8202637079162957,0.8202637079162957,0.8027927259201262,0.8027927259201262,0.8027927259201262
2,0.6851326080507074,0.6851326080507074,0.6851326080507074,0.6717255526840089,0.6717255526840089,0.6717255526840089,0.7267059526183408,0.7267059526183408,0.7267059526183408,0.7140060793775997,0.7140060793775997,0.7140060793775997,0.6850589197327419,0.6850589197327419,0.6850589197327419,0.6716384206572802,0.6716384206572802,0.6716384206572802
3,0.5768257382135087,0.5768257382135087,0.5768257382135087,0.5708377154235414,0.5708377154235414,0.5708377154235414,0.7001784303747001,0.7001784303747001,0.7001784303747001,0.698932992214014,0.698932992214014,0.698932992214014,0.576731162436204,0.576731162436204,0.576731162436204,0.5708042783726024,0.5708042783726024,0.5708042783726024
4,0.49315292095972885,0.49315292095972885,0.49315292095972885,0.4901619254400381,0.4901619254400381,0.4901619254400381,0.6792135282684048,0.6792135282684048,0.6792135282684048,0.6783056576756407,0.6783056576756407,0.6783056576756407,0.4931502864813043,0.4931502864813043,0.4931502864813043,0.4902277916293409,0.4902277916293409,0.4902277916293409
5,0.4192547018683318,0.4192547018683318,0.4192547018683318,0.42076031898288246,0.42076031898288246,0.42076031898288246,0.6472368510143646,0.6472368510143646,0.6472368510143646,0.6464592493493515,0.6464592493493515,0.6464592493493515,0.41933375574192217,0.41933375574192217,0.41933375574192217,0.42085863500329523,0.42085863500329523,0.42085863500329523
6,0.36501470324672336,0.36501470324672336,0.36501470324672336,0.36436048661247367,0.36436048661247367,0.36436048661247367,0.6236698879043767,0.6236698879043767,0.6236698879043767,0.6200946258022052,0.6200946258022052,0.6200946258022052,0.36518210680060315,0.36518210680060315,0.36518210680060315,0.36453094250588924,0.36453094250588924,0.36453094250588924
7,0.31404805402179087,0.31404805402179087,0.31404805402179087,0.3151033354248708,0.3151033354248708,0.3151033354248708,0.5942729674572365,0.5942729674572365,0.5942729674572365,0.5946744443503253,0.5946744443503253,0.5946744443503253,0.31430723065853433,0.31430723065853433,0.31430723065853433,0.3152821066649971,0.3152821066649971,0.3152821066649971
8,0.27162143306204534,0.27162143306204534,0.27162143306204534,0.2732361548873118,0.2732361548873118,0.2732361548873118,0.5673818217490629,0.5673818217490629,0.5673818217490629,0.5689170190458785,0.5689170190458785,0.5689170190458785,0.271950968285749,0.271950968285749,0.271950968285749,0.27341827951867315,0.27341827951867315,0.27341827951867315
9,0.23178749344736274,0.23178749344736274,0.23178749344736274,0.2349673079875531,0.2349673079875531,0.2349673079875531,0.5438773642589921,0.5438773642589921,0.5438773642589921,0.5473516851348774,0.5473516851348774,0.5473516851348774,0.2322055893118029,0.2322055893118029,0.2322055893118029,0.2352951262189308,0.2352951262189308,0.2352951262189308
