,run_name,solver,sketch_size_formula,sketch_size,time (median),time (1st quartile),time (3rd quartile)
0,inc_mom,subsample,m^(2/3),1307,821.9810105524957,820.6708510320022,823.9451811547551
1,inc_mom,subsample,m/4,11809,615.206730298014,417.7558491120144,709.4748150377418
2,inc_mom,subsample,m/2,23618,955.4566925209947,803.3478002037518,1173.2426412940185
3,inc_mom,count,m^(2/3),1307,554.9064643989987,528.5174111660017,565.336998601997
4,inc_mom,count,m/4,11809,165.29296339000575,154.11554621948744,167.9714500744958
5,inc_mom,count,m/2,23618,433.6040238830028,376.7919768662541,449.49116672000673
